,,,Node1,Node2,Node3,Node4
period1,sc01,t0495,, 2.5 , 2.5 ,
period1,sc01,t0496,, 2.5 , 2.5 ,
period1,sc01,t0497,, 2.5 , 2.5 ,
period1,sc01,t0498,, 2.5 , 2.5 ,
period1,sc01,t0499,, 2.5 , 2.5 ,
period1,sc01,t0500,, 2.5 , 2.5 ,
period1,sc01,t0501,, 2.5 , 2.5 ,
period1,sc01,t0502,, 2.5 , 2.5 ,
period1,sc01,t0503,, 2.5 , 2.5 ,
period1,sc01,t0504,, 2.5 , 2.5 ,
period1,sc01,t0505,, 2.5 , 2.5 ,
period1,sc01,t0506,, 2.5 , 2.5 ,
period1,sc01,t0507,, 2.5 , 2.5 ,
period1,sc01,t0508,, 2.5 , 2.5 ,
period1,sc01,t0509,, 2.5 , 2.5 ,
period1,sc01,t0510,, 2.5 , 2.5 ,
period1,sc01,t0511,, 2.5 , 2.5 ,
period1,sc01,t0512,, 2.5 , 2.5 ,
period1,sc01,t0513,, 2.5 , 2.5 ,
period1,sc01,t0514,, 2.5 , 2.5 ,
period1,sc01,t0515,, 2.5 , 2.5 ,
period1,sc01,t0516,, 2.5 , 2.5 ,
period1,sc01,t0517,, 2.5 , 2.5 ,
period1,sc01,t0518,, 2.5 , 2.5 ,
period1,sc01,t0519,, 2.5 , 2.5 ,
period1,sc01,t0520,, 2.5 , 2.5 ,
period1,sc01,t0521,, 2.5 , 2.5 ,
period1,sc01,t0522,, 2.5 , 2.5 ,
period1,sc01,t0523,, 2.5 , 2.5 ,
period1,sc01,t0524,, 2.5 , 2.5 ,
period1,sc01,t0525,, 2.5 , 2.5 ,
period1,sc01,t0526,, 2.5 , 2.5 ,
period1,sc01,t0527,, 2.5 , 2.5 ,
period1,sc01,t0528,, 2.5 , 2.5 ,
period1,sc01,t0529,, 2.5 , 2.5 ,
period1,sc01,t0530,, 2.5 , 2.5 ,
period1,sc01,t0531,, 2.5 , 2.5 ,
period1,sc01,t0532,, 2.5 , 2.5 ,
period1,sc01,t0533,, 2.5 , 2.5 ,
