Period,Scenario,LoadLevel,InitialNode,FinalNode,Circuit,Date,MW
period1,sc01,t0084,Node2,Node3,p1,2024-09-19 23:29:00,0.14012792459181972
period1,sc01,t0084,Node2,Node4,p1,2024-09-19 23:29:00,-0.0
period1,sc01,t0084,Node3,Node4,p1,2024-09-19 23:29:00,0.14012792459181972
period1,sc01,t0085,Node2,Node3,p1,2024-09-20 00:29:00,0.14012792459181972
period1,sc01,t0085,Node2,Node4,p1,2024-09-20 00:29:00,-0.0
period1,sc01,t0085,Node3,Node4,p1,2024-09-20 00:29:00,0.14012792459181972
period1,sc01,t0086,Node2,Node3,p1,2024-09-20 01:29:00,0.14012792459181972
period1,sc01,t0086,Node2,Node4,p1,2024-09-20 01:29:00,-0.0
period1,sc01,t0086,Node3,Node4,p1,2024-09-20 01:29:00,0.14012792459181972
period1,sc01,t0087,Node2,Node3,p1,2024-09-20 02:29:00,0.14012792459181972
period1,sc01,t0087,Node2,Node4,p1,2024-09-20 02:29:00,-0.0
period1,sc01,t0087,Node3,Node4,p1,2024-09-20 02:29:00,0.14012792459181972
period1,sc01,t0088,Node2,Node3,p1,2024-09-20 03:29:00,0.14012792459181972
period1,sc01,t0088,Node2,Node4,p1,2024-09-20 03:29:00,-0.0
period1,sc01,t0088,Node3,Node4,p1,2024-09-20 03:29:00,0.14012792459181972
period1,sc01,t0089,Node2,Node3,p1,2024-09-20 04:29:00,0.14012792459181972
period1,sc01,t0089,Node2,Node4,p1,2024-09-20 04:29:00,-0.0
period1,sc01,t0089,Node3,Node4,p1,2024-09-20 04:29:00,0.14012792459181972
period1,sc01,t0090,Node2,Node3,p1,2024-09-20 05:29:00,0.14012792459181972
period1,sc01,t0090,Node2,Node4,p1,2024-09-20 05:29:00,-0.0
period1,sc01,t0090,Node3,Node4,p1,2024-09-20 05:29:00,0.14012792459181972
period1,sc01,t0091,Node2,Node3,p1,2024-09-20 06:29:00,0.14012792459181972
period1,sc01,t0091,Node2,Node4,p1,2024-09-20 06:29:00,-0.0
period1,sc01,t0091,Node3,Node4,p1,2024-09-20 06:29:00,0.14012792459181972
period1,sc01,t0092,Node2,Node3,p1,2024-09-20 07:29:00,0.14012792459181972
period1,sc01,t0092,Node2,Node4,p1,2024-09-20 07:29:00,-0.0
period1,sc01,t0092,Node3,Node4,p1,2024-09-20 07:29:00,0.14012792459181972
period1,sc01,t0093,Node2,Node3,p1,2024-09-20 08:29:00,0.14012792459181972
period1,sc01,t0093,Node2,Node4,p1,2024-09-20 08:29:00,-0.0
period1,sc01,t0093,Node3,Node4,p1,2024-09-20 08:29:00,0.14012792459181972
period1,sc01,t0094,Node2,Node3,p1,2024-09-20 09:29:00,0.14012792459181972
period1,sc01,t0094,Node2,Node4,p1,2024-09-20 09:29:00,-0.0
period1,sc01,t0094,Node3,Node4,p1,2024-09-20 09:29:00,0.14012792459181972
period1,sc01,t0095,Node2,Node3,p1,2024-09-20 10:29:00,0.14012792459181972
period1,sc01,t0095,Node2,Node4,p1,2024-09-20 10:29:00,-0.0
period1,sc01,t0095,Node3,Node4,p1,2024-09-20 10:29:00,0.14012792459181972
period1,sc01,t0096,Node2,Node3,p1,2024-09-20 11:29:00,0.14012792459181972
period1,sc01,t0096,Node2,Node4,p1,2024-09-20 11:29:00,-0.0
period1,sc01,t0096,Node3,Node4,p1,2024-09-20 11:29:00,0.14012792459181972
period1,sc01,t0097,Node2,Node3,p1,2024-09-20 12:29:00,0.14012792459181972
period1,sc01,t0097,Node2,Node4,p1,2024-09-20 12:29:00,-0.0
period1,sc01,t0097,Node3,Node4,p1,2024-09-20 12:29:00,0.14012792459181972
period1,sc01,t0098,Node2,Node3,p1,2024-09-20 13:29:00,0.14012792459181972
period1,sc01,t0098,Node2,Node4,p1,2024-09-20 13:29:00,-0.0
period1,sc01,t0098,Node3,Node4,p1,2024-09-20 13:29:00,0.14012792459181972
period1,sc01,t0099,Node2,Node3,p1,2024-09-20 14:29:00,0.14012792459181972
period1,sc01,t0099,Node2,Node4,p1,2024-09-20 14:29:00,-0.0
period1,sc01,t0099,Node3,Node4,p1,2024-09-20 14:29:00,0.14012792459181972
period1,sc01,t0100,Node2,Node3,p1,2024-09-20 15:29:00,0.14012792459181972
period1,sc01,t0100,Node2,Node4,p1,2024-09-20 15:29:00,-0.0
period1,sc01,t0100,Node3,Node4,p1,2024-09-20 15:29:00,0.14012792459181972
period1,sc01,t0101,Node2,Node3,p1,2024-09-20 16:29:00,0.14012792459181972
period1,sc01,t0101,Node2,Node4,p1,2024-09-20 16:29:00,-0.0
period1,sc01,t0101,Node3,Node4,p1,2024-09-20 16:29:00,0.14012792459181972
period1,sc01,t0102,Node2,Node3,p1,2024-09-20 17:29:00,0.14012792459181972
period1,sc01,t0102,Node2,Node4,p1,2024-09-20 17:29:00,-0.0
period1,sc01,t0102,Node3,Node4,p1,2024-09-20 17:29:00,0.14012792459181972
period1,sc01,t0103,Node2,Node3,p1,2024-09-20 18:29:00,0.14012792459181972
period1,sc01,t0103,Node2,Node4,p1,2024-09-20 18:29:00,-0.0
period1,sc01,t0103,Node3,Node4,p1,2024-09-20 18:29:00,0.14012792459181972
period1,sc01,t0104,Node2,Node3,p1,2024-09-20 19:29:00,0.14012792459181972
period1,sc01,t0104,Node2,Node4,p1,2024-09-20 19:29:00,-0.0
period1,sc01,t0104,Node3,Node4,p1,2024-09-20 19:29:00,0.14012792459181972
period1,sc01,t0105,Node2,Node3,p1,2024-09-20 20:29:00,0.14012792459181972
period1,sc01,t0105,Node2,Node4,p1,2024-09-20 20:29:00,-0.0
period1,sc01,t0105,Node3,Node4,p1,2024-09-20 20:29:00,0.14012792459181972
period1,sc01,t0106,Node2,Node3,p1,2024-09-20 21:29:00,0.14012792459181972
period1,sc01,t0106,Node2,Node4,p1,2024-09-20 21:29:00,-0.0
