,,,SolarPV_01,Wind_01,BESS_01,AEL_01,PEMEL_01
period1,sc01,t0376, 4.54425201 , 2.04941747572816 ,,,
period1,sc01,t0377, 3.0631069225 , 2.17116504854369 ,,,
period1,sc01,t0378, 0.9450352375 , 2.19145631067961 ,,,
period1,sc01,t0379, 0.0184094946 , 1.64359223300971 ,,,
period1,sc01,t0380, 8.70939916666667E-06 , 1.01456310679612 ,,,
period1,sc01,t0381, 7.16711083333333E-06 , 0.527572815533981 ,,,
period1,sc01,t0382, 4.53614666666667E-06 , 0.284077669902913 ,,,
period1,sc01,t0383, 4.89903833333333E-06 , 0.223203883495146 ,,,
period1,sc01,t0384, 3.17530166666667E-06 , 0.243495145631068 ,,,
period1,sc01,t0385, 3.53819333333333E-06 , 0.243495145631068 ,,,
period1,sc01,t0386, 3.99180916666667E-06 , 0.182621359223301 ,,,
period1,sc01,t0387, 0.000002630965 , 0.142038834951456 ,,,
period1,sc01,t0388, 3.44747166666667E-06 , 0.182621359223301 ,,,
period1,sc01,t0389, 0.000003901085 , 0.304368932038835 ,,,
